class label,FT1 value a,FT1 value b,FT2 value a,FT2 value b,FT3 value a,FT3 value b,FT4 value a,FT4 value b,FT5 value a,FT5 value b,FT6 value a,FT6 value b,FT7 value a,FT7 value b,FT8 value a,FT8 value b,FT9 value a,FT9 value b,FT10 value a,FT10 value b,FT11 value a,FT11 value b,FT12 value a,FT12 value b,FT13 value a,FT13 value b,FT14 value a,FT14 value b,class
blues,0.839,2.1111112,0.662,3,0.817,3.6825397,0.798,2.3730159,0.686,3.7698412,0.742,3.7460318,0.649,2.9444444,1.53,2.0396826,0.312,3.4682539,0.915,0.46825397,1.545,2.0714285,1.168,0,1.206,0.22222222,-0.006,0,1
blues,0.833,1.9761904,0.636,3.063492,0.802,3.7063491,0.773,2.1904762,0.674,3.6349206,0.711,3.5952382,0.696,2.3095238,1.338,1.7777778,0.371,3.1190476,0.744,0.31746033,1.445,2.6111112,1.095,0,1.137,0.32539684,-0.005,0,1
blues,0.88,1.7698413,0.656,3.0873015,0.824,3.6349206,0.815,2.7460318,0.676,4.214286,0.722,4.0873017,0.668,3.7460318,1.722,1.6984127,0.291,3.920635,0.9,0.25396827,1.667,1.968254,1.309,0.007936508,1.344,0.1984127,-0.006,0,1
blues,0.849,2.0555556,0.676,3.1507936,0.802,3.7698412,0.856,2.8412697,0.684,4.15873,0.706,4.2222223,0.71,3.2460318,1.766,1.9285715,0.324,3.8015873,0.969,0.74603176,1.741,2.2142856,1.271,0.015873017,1.364,0.48412699,-0.005,0,1
blues,0.845,1.9285715,0.6,2.484127,0.776,3.1904762,0.787,1.9841269,0.669,3.484127,0.715,3.3968253,0.64,2.2301588,1.297,1.9841269,0.252,2.1507936,0.682,0.50793654,1.417,2.1904762,1.014,0.055555556,1.061,0.35714287,-0.006,0,1
blues,0.863,1.8174603,0.663,3.0714285,0.809,3.8015873,0.788,2.6031747,0.668,4.15873,0.713,4.071429,0.687,3.9126985,1.744,1.6031746,0.306,3.8492064,0.914,0.36507937,1.629,2.1349206,1.299,0.31746033,1.338,0.42857143,-0.006,0,1
blues,0.833,2.1507936,0.638,2.9126985,0.809,3.642857,0.808,2.4126985,0.676,4.0634923,0.713,4.0873017,0.647,3.3492064,1.595,1.8333334,0.291,3.4126985,0.836,0.2936508,1.564,2.2142856,1.185,0.015873017,1.216,0.31746033,-0.006,0,1
blues,0.883,1.5634921,0.617,2.9682539,0.788,3.6984127,0.79,2.4047618,0.675,3.984127,0.743,3.7301588,0.676,2.3650794,1.528,2.4444444,0.307,2.6746032,0.785,0.8968254,1.517,2.952381,1.128,0.007936508,1.202,0.6111111,-0.006,0,1
blues,0.89,1.4206349,0.645,3.3253968,0.779,3.8888888,0.794,2.547619,0.674,4.015873,0.741,3.7619047,0.665,3.8492064,1.709,1.7063493,0.299,3.6111112,0.869,0.21428572,1.649,2.3015873,1.376,0.31746033,1.431,0.42063493,-0.006,0,1
blues,0.881,1.6507937,0.677,3.1666667,0.792,3.9920635,0.797,2.8015873,0.694,3.8730159,0.716,4.2063494,0.683,3.8809524,1.661,1.2539682,0.314,3.3888888,0.855,0.3015873,1.606,2.3730159,1.343,0.50793654,1.425,0.7380952,-0.006,0,1
blues,0.83,2.079365,0.615,2.7857144,0.793,3.420635,0.821,2.3253968,0.667,3.8174603,0.735,3.6746032,0.661,2.8650794,1.545,2.2936509,0.292,3,0.822,0.8095238,1.579,2.6904762,1.095,0.055555556,1.135,0.34920636,-0.006,0,1
blues,0.841,2.015873,0.668,3.2777777,0.811,3.9047618,0.823,2.6746032,0.679,4.1031747,0.719,4.111111,0.725,3.6190476,1.805,1.8492063,0.347,4.0396824,0.998,0.54761904,1.769,2.3253968,1.364,0.007936508,1.401,0.2857143,-0.006,0,1
blues,0.826,2.0079365,0.649,2.8253968,0.81,3.6349206,0.811,2.3730159,0.672,3.7380953,0.696,4.071429,0.666,2.6111112,1.357,1.7222222,0.343,3.3888888,0.827,0.34126985,1.453,1.9285715,1.051,0.007936508,1.08,0.22222222,-0.006,0,1
blues,0.861,1.8888888,0.682,2.936508,0.833,3.7063491,0.866,2.7460318,0.679,3.984127,0.703,4.095238,0.764,2.8492064,1.715,2.0079365,0.359,3.5,0.969,0.63492066,1.871,2.5952382,1.222,0.22222222,1.326,0.7380952,-0.006,0,1
blues,0.853,1.8888888,0.641,2.8412697,0.824,3.4920635,0.83,2.1984127,0.665,3.6190476,0.679,3.7936509,0.712,2.2142856,1.367,1.9365079,0.352,3.1587303,0.834,0.6031746,1.557,2.6269841,1.071,0,1.129,0.3888889,-0.006,0,1
blues,0.846,2.0714285,0.645,2.952381,0.822,3.6507936,0.817,2.3650794,0.671,3.8412697,0.72,3.9126985,0.666,2.8412697,1.423,1.6428572,0.34,3.4761906,0.864,0.26190478,1.46,1.7936507,1.126,0,1.155,0.23015873,-0.006,0,1
blues,0.844,1.9126984,0.632,3.3015873,0.765,4.0238094,0.759,3.0952382,0.694,3.984127,0.725,3.9920635,0.688,4.3333335,1.838,1.4126984,0.311,3.984127,0.855,0.2857143,1.888,1.9285715,1.557,0.44444445,1.616,0.5873016,-0.006,0,1
blues,0.859,1.7857143,0.665,3.1031747,0.818,3.6904762,0.863,2.5079365,0.683,3.9285715,0.733,3.9761906,0.705,3.2777777,1.626,1.8888888,0.305,3.2777777,0.815,0.3015873,1.633,2.7539682,1.259,0.1904762,1.303,0.4920635,-0.006,0,1
blues,0.843,2.0873015,0.663,3.1507936,0.799,3.936508,0.792,2.515873,0.673,3.9761906,0.74,3.984127,0.69,3.7142856,1.655,1.7380953,0.288,3.7380953,0.89,0.32539684,1.643,2.2698412,1.316,0.44444445,1.377,0.4047619,-0.006,0,1
blues,0.825,2.1984127,0.621,3.5952382,0.738,4.2539682,0.818,2.9047618,0.686,3.9126985,0.726,4.031746,0.692,3.9761906,1.726,1.5158731,0.34,4.126984,0.915,0.25396827,1.732,2.3809524,1.476,0.43650794,1.541,0.5555556,-0.006,0,1
blues,0.867,1.7619047,0.68,3.1349206,0.811,3.8333333,0.849,2.7460318,0.668,4.1190476,0.735,3.7539682,0.731,3.2619047,1.705,1.7777778,0.349,3.6984127,0.967,0.78571427,1.68,2.3333333,1.238,0.3968254,1.307,0.6825397,-0.006,0,1
blues,0.845,1.9523809,0.636,2.7857144,0.823,3.4761906,0.802,2.3095238,0.677,4.2539682,0.714,3.8095238,0.649,3.0238094,1.521,1.7063493,0.279,3.1031747,0.792,0.36507937,1.526,2.1031747,1.217,0.06349207,1.249,0.33333334,-0.006,0,1
blues,0.852,1.8730159,0.671,3.1507936,0.828,3.8015873,0.824,2.7142856,0.671,4.111111,0.728,3.8968253,0.706,3.2301588,1.639,1.8253968,0.341,3.8253968,0.927,0.36507937,1.682,2.2777777,1.23,0,1.297,0.3888889,-0.006,0,1
blues,0.83,1.9920635,0.677,3.1587303,0.812,3.9682539,0.857,2.2857144,0.677,3.8492064,0.722,3.7936509,0.699,3.0238094,1.533,1.7619047,0.348,3.4444444,0.864,0.37301588,1.684,2.3015873,1.126,0.3888889,1.158,0.4047619,-0.006,0,1
blues,0.867,1.7698413,0.651,3.3888888,0.787,3.9285715,0.759,2.7936509,0.684,3.9126985,0.723,4.0793653,0.672,4.0555553,1.776,1.6825397,0.293,3.9047618,0.875,0.23809524,1.731,2.2063491,1.443,0.44444445,1.475,0.48412699,-0.006,0,1
blues,0.839,1.968254,0.709,3.1111112,0.825,3.8333333,0.876,2.5555556,0.671,4,0.705,4.071429,0.736,2.6269841,1.635,2.047619,0.374,3.3174603,0.973,0.5,1.794,2.642857,1.152,0.031746034,1.269,0.37301588,-0.006,0,1
blues,0.854,1.9761904,0.592,2.3968253,0.758,3.1349206,0.706,1.7539682,0.648,3.5238094,0.714,3.142857,0.627,1.6269841,1.124,1.7619047,0.263,2.452381,0.613,0.2857143,1.298,1.8174603,0.943,0,0.965,0.18253969,-0.006,0,1
blues,0.806,2.047619,0.632,3.1666667,0.763,4.095238,0.778,2.642857,0.687,4.1349206,0.738,4.095238,0.669,3.936508,1.69,1.3253968,0.28,3.3730159,0.836,0.30952382,1.775,1.9285715,1.409,0.56349206,1.476,0.7380952,-0.006,0,1
blues,0.85,1.968254,0.676,3.1666667,0.82,3.8174603,0.832,2.7222223,0.681,4.1349206,0.733,3.9285715,0.685,3.9285715,1.807,1.8412699,0.309,4.2619047,1.025,0.8095238,1.77,2.2380953,1.306,0.06349207,1.322,0.1984127,-0.006,0,1
blues,0.828,1.9603175,0.658,2.8730159,0.827,3.7460318,0.79,1.8888888,0.663,4.1031747,0.73,3.5396826,0.652,2.357143,1.34,1.7539682,0.327,2.7619047,0.801,0.18253969,1.488,2.1031747,1.051,0.015873017,1.096,0.26984128,-0.006,0,1
blues,0.794,2.2777777,0.594,2.3730159,0.744,3.0317461,0.615,1.3333334,0.674,2.984127,0.69,3.0238094,0.602,0.86507934,0.924,1.5714285,0.294,1.7777778,0.52,0.1904762,1.136,1.7301587,0.846,0,0.875,0.16666667,-0.005,0,1
blues,0.76,2.6904762,0.709,3.015873,0.851,3.7222223,0.854,2.6349206,0.677,3.7936509,0.716,4.1349206,0.735,2.436508,1.496,2.0555556,0.411,3.2857144,0.888,0.6111111,1.625,2.7222223,1.115,0.007936508,1.226,0.64285713,-0.006,0,1
blues,0.897,1.6507937,0.68,3.2142856,0.812,3.8095238,0.82,2.8650794,0.675,4.015873,0.731,3.9047618,0.676,4.230159,1.867,1.6507937,0.297,4.2063494,0.995,0.71428573,1.746,1.9603175,1.42,0.08730159,1.453,0.24603175,-0.006,0,1
blues,0.825,2.1507936,0.634,2.9761906,0.816,3.5,0.81,2.5238094,0.664,3.7619047,0.74,3.3968253,0.678,2.4285715,1.405,2,0.333,3.1587303,0.801,0.47619048,1.478,2.2063491,1.077,0,1.146,0.42063493,-0.006,0,1
blues,0.804,2.2301588,0.582,2.3174603,0.737,3.0079365,0.61,1.3492063,0.668,2.952381,0.73,3.0396826,0.605,0.7222222,0.924,1.8412699,0.296,1.4920635,0.505,0.41269842,1.164,2.015873,0.841,0,0.878,0.32539684,-0.005,0,1
blues,0.796,2.1825397,0.612,2.515873,0.786,3.3333333,0.766,2.0079365,0.667,3.547619,0.706,3.4682539,0.645,2.1031747,1.34,2.1269841,0.264,2.7301588,0.741,0.53968257,1.438,2.484127,1.018,0.015873017,1.057,0.34126985,-0.006,0,1
blues,0.857,1.968254,0.622,2.642857,0.776,3.4444444,0.729,2.015873,0.667,3.3809524,0.717,3.3015873,0.663,2.0396826,1.225,1.6825397,0.293,2.6984127,0.648,0.32539684,1.415,2.2380953,1.017,0.03968254,1.051,0.2936508,-0.005,0,1
blues,0.824,2.1507936,0.645,2.8095238,0.826,3.6031747,0.766,1.968254,0.673,3.5,0.713,3.5,0.705,2.2222223,1.362,1.8888888,0.315,2.9126985,0.803,0.41269842,1.592,2.3095238,1.052,0.3968254,1.092,0.45238096,-0.006,0,1
blues,0.829,2.0873015,0.672,3.2777777,0.802,3.8809524,0.792,2.7142856,0.685,4.1666665,0.747,3.9047618,0.679,3.452381,1.641,1.7777778,0.312,3.6587303,0.859,0.33333334,1.599,2.2698412,1.336,0,1.389,0.31746033,-0.006,0,1
blues,0.787,2.3809524,0.682,2.952381,0.833,3.6825397,0.823,2.015873,0.685,3.6904762,0.719,3.7857144,0.668,2.642857,1.388,1.6428572,0.357,3.3888888,0.86,0.32539684,1.496,1.9126984,1.097,0.007936508,1.151,0.26190478,-0.006,0,1
blues,0.884,1.6746032,0.665,2.9682539,0.824,3.5952382,0.813,2.563492,0.691,3.952381,0.733,3.8650794,0.683,3.0317461,1.679,2.1111112,0.312,3.4920635,0.957,0.74603176,1.582,2.6349206,1.209,0,1.29,0.6904762,-0.006,0,1
blues,0.836,2.0714285,0.645,2.9682539,0.813,3.5714285,0.841,2.4603174,0.674,3.3888888,0.717,3.6507936,0.7,2.1984127,1.395,2.5873015,0.357,2.8253968,0.833,1.031746,1.596,3.0396826,1.027,0.04761905,1.108,0.3968254,-0.006,0,1
blues,0.847,1.9047619,0.653,3.3333333,0.796,4,0.799,2.8333333,0.684,3.9603174,0.753,3.8968253,0.695,3.7857144,1.794,1.8095238,0.308,4.015873,0.931,0.46031746,1.71,2.3095238,1.355,0.015873017,1.426,0.43650794,-0.005,0,1
blues,0.849,1.9047619,0.655,2.9603174,0.827,3.6269841,0.806,2.2142856,0.686,3.7619047,0.728,3.5873015,0.707,2.515873,1.403,1.9047619,0.348,3.2301588,0.795,0.33333334,1.5,2.8492064,1.104,0,1.129,0.47619048,-0.006,0,1
blues,0.905,1.5793651,0.664,3.2619047,0.791,3.8968253,0.875,2.8174603,0.672,4.214286,0.709,4.1507936,0.71,3.4444444,1.769,1.9285715,0.328,3.8095238,0.998,0.5714286,1.77,2.6349206,1.257,0.031746034,1.367,0.515873,-0.006,0,1
blues,0.792,2.1111112,0.602,2.4761906,0.78,3.3412697,0.748,1.9523809,0.664,3.6587303,0.677,3.3650794,0.675,1.0634921,1.164,1.9444444,0.334,1.9761904,0.677,0.53174603,1.34,2.2142856,0.931,0.055555556,0.991,0.34920636,-0.006,0,1
blues,0.889,1.6190476,0.68,3.0873015,0.824,3.8095238,0.829,2.5238094,0.689,3.8174603,0.721,3.7301588,0.684,3.452381,1.607,1.6984127,0.32,3.6587303,0.852,0.3015873,1.642,2.2857144,1.243,0.14285715,1.293,0.48412699,-0.006,0,1
blues,0.86,1.7619047,0.663,3.2619047,0.803,3.8650794,0.855,2.7698412,0.679,3.8253968,0.72,3.9126985,0.716,3.0238094,1.691,2.1666667,0.344,3.3730159,0.967,0.96031743,1.742,2.6507936,1.26,0.031746034,1.343,0.53968257,-0.006,0,1
blues,0.853,1.7380953,0.636,2.936508,0.808,3.642857,0.757,2.1031747,0.653,3.6190476,0.713,3.5714285,0.694,1.8412699,1.287,1.8412699,0.347,2.8968253,0.748,0.42857143,1.421,2.6666667,1.022,0.023809524,1.069,0.4047619,-0.006,0,1
blues,0.825,2.1587303,0.652,2.952381,0.826,3.563492,0.744,2.015873,0.664,3.6269841,0.722,3.357143,0.675,2.1349206,1.288,1.6825397,0.322,3.047619,0.733,0.25396827,1.4,2.357143,1.038,0,1.056,0.20634921,-0.006,0,1
blues,0.854,1.8015873,0.665,3.4047618,0.777,4.031746,0.832,2.5317461,0.688,3.8253968,0.74,3.8730159,0.693,3.1746032,1.583,1.8412699,0.342,3.5952382,0.824,0.3809524,1.627,2.7936509,1.238,0.46825397,1.309,0.53174603,-0.006,0,1
blues,0.854,2.0238094,0.627,2.952381,0.8,3.6190476,0.781,2.3333333,0.671,3.5714285,0.719,3.7777777,0.684,2.1031747,1.323,1.7857143,0.351,3.1349206,0.8,0.43650794,1.465,2.484127,1.036,0,1.081,0.2857143,-0.006,0,1
blues,0.809,2.2380953,0.683,3.2063491,0.818,3.9603174,0.842,2.3015873,0.675,4.0079365,0.721,3.9761906,0.663,3.1666667,1.557,1.9047619,0.35,3.5873015,0.944,0.3968254,1.628,2.2142856,1.145,0.007936508,1.224,0.20634921,-0.006,0,1
blues,0.868,1.3809524,0.667,3.2936509,0.774,4.0873017,0.803,2.4761906,0.67,3.9603174,0.754,3.7619047,0.675,3.2142856,1.615,1.7777778,0.328,3.436508,0.825,0.2857143,1.682,2.8253968,1.317,0.08730159,1.375,0.4047619,-0.006,0,1
blues,0.805,2.2380953,0.683,3.047619,0.833,3.8412697,0.853,2.4682539,0.673,4.142857,0.724,4.047619,0.673,3.7380953,1.673,1.8412699,0.322,4.0873017,1.004,0.42857143,1.757,2.3253968,1.213,0.23809524,1.246,0.2936508,-0.006,0,1
blues,0.77,2.6349206,0.682,3.3174603,0.795,3.9920635,0.792,2.547619,0.68,4.1507936,0.741,4.0873017,0.68,3.5079365,1.628,1.7698413,0.314,3.7857144,0.907,0.35714287,1.602,2.0079365,1.277,0.04761905,1.318,0.2936508,-0.006,0,1
blues,0.873,1.8095238,0.65,2.6984127,0.83,3.3730159,0.81,2.436508,0.682,3.7936509,0.717,3.6984127,0.662,3.2222223,1.574,1.6507937,0.283,3.3809524,0.818,0.33333334,1.559,2.079365,1.185,0.1984127,1.21,0.3015873,-0.006,0,1
blues,0.859,1.8650794,0.65,2.9761906,0.808,3.7539682,0.817,2.3730159,0.67,3.7142856,0.713,3.7380953,0.701,2.6111112,1.427,1.9126984,0.345,3.4047618,0.805,0.45238096,1.503,2.7619047,1.105,0,1.143,0.3888889,-0.006,0,1
blues,0.873,1.9126984,0.654,2.936508,0.813,3.547619,0.817,2.8174603,0.687,3.9920635,0.729,4,0.668,3.579365,1.644,1.7063493,0.291,3.7301588,0.896,0.32539684,1.581,1.8968254,1.278,0.015873017,1.32,0.24603175,-0.006,0,1
blues,0.879,1.6984127,0.646,3.1984127,0.809,3.6746032,0.822,2.6904762,0.679,4.0793653,0.735,4.047619,0.685,3.4126985,1.762,1.8968254,0.31,3.5873015,0.917,0.46825397,1.635,2.2777777,1.269,0.04761905,1.316,0.26984128,-0.006,0,1
blues,0.818,2.1190476,0.649,2.6587303,0.809,3.4047618,0.757,2.1349206,0.681,3.6269841,0.735,3.484127,0.655,2.4603174,1.315,1.6269841,0.298,2.7936509,0.713,0.2936508,1.48,1.8412699,1.04,0.015873017,1.065,0.11904762,-0.006,0,1
blues,0.836,1.968254,0.614,2.4444444,0.815,3.047619,0.782,2.1031747,0.688,3.4761906,0.716,3.5873015,0.642,2.4603174,1.341,1.968254,0.264,3,0.746,0.44444445,1.498,2.3333333,1.03,0,1.062,0.18253969,-0.006,0,1
blues,0.822,2.3253968,0.692,3.2619047,0.809,3.8253968,0.825,3.015873,0.681,3.952381,0.722,4.015873,0.702,4.174603,1.862,1.6269841,0.319,4.531746,1.017,0.7222222,1.793,2.0396826,1.411,0.15873016,1.442,0.42063493,-0.006,0,1
blues,0.828,2.1587303,0.658,3.2142856,0.765,4.095238,0.772,2.547619,0.678,3.952381,0.733,3.9761906,0.711,3.9920635,1.717,1.5079365,0.3,3.8412697,0.825,0.25396827,1.732,2.2063491,1.436,0.54761904,1.498,0.6666667,-0.006,0,1
blues,0.887,1.6031746,0.642,3.0238094,0.792,3.7380953,0.824,2.6111112,0.675,4.1349206,0.738,3.984127,0.693,3.2301588,1.722,2.0555556,0.301,3.3412697,0.886,0.6269841,1.673,2.5317461,1.224,0.055555556,1.298,0.42063493,-0.006,0,1
blues,0.85,1.968254,0.631,2.8730159,0.798,3.4920635,0.766,2.2936509,0.662,3.5873015,0.719,3.6984127,0.66,2.3253968,1.336,1.7857143,0.311,3.2063491,0.786,0.37301588,1.427,1.9603175,1.037,0,1.054,0.11904762,-0.006,0,1
blues,0.815,2.1349206,0.647,2.9761906,0.834,3.579365,0.81,2.1190476,0.673,3.6190476,0.71,3.515873,0.675,2.4285715,1.35,1.7936507,0.33,3.0317461,0.759,0.31746033,1.464,2.484127,1.053,0.1904762,1.08,0.46031746,-0.006,0,1
blues,0.798,2.0873015,0.626,2.7698412,0.812,3.5317461,0.796,1.9761904,0.69,3.7380953,0.734,3.452381,0.633,2.7142856,1.354,1.6825397,0.272,3.0952382,0.809,0.33333334,1.457,2.047619,1.065,0.031746034,1.072,0.26190478,-0.006,0,1
blues,0.85,1.9920635,0.66,3.3492064,0.819,3.8253968,0.831,2.5555556,0.666,4.047619,0.733,3.984127,0.695,3.7777777,1.68,1.6746032,0.327,3.8412697,0.902,0.3888889,1.621,2.3888888,1.274,0.4047619,1.317,0.5793651,-0.006,0,1
blues,0.841,2.015873,0.596,2.5952382,0.769,3.2777777,0.712,1.8174603,0.675,3.2063491,0.697,3.2301588,0.674,1.2222222,1.147,2.2539682,0.3,2.4285715,0.622,0.6666667,1.373,2.5079365,0.942,0,0.997,0.35714287,-0.006,0,1
blues,0.874,1.8174603,0.639,2.7539682,0.814,3.3174603,0.828,2.7063491,0.677,4.1507936,0.708,3.7857144,0.692,3.4285715,1.75,1.6984127,0.294,3.7460318,0.975,0.6984127,1.715,2.0873015,1.209,0.22222222,1.242,0.35714287,-0.006,0,1
blues,0.869,1.8412699,0.666,3.3730159,0.786,4.031746,0.826,2.2777777,0.684,4.015873,0.72,4.047619,0.684,3.515873,1.652,1.7460318,0.323,3.6111112,0.9,0.34920636,1.559,2.1587303,1.285,0.023809524,1.347,0.34920636,-0.006,0,1
blues,0.887,1.6190476,0.632,2.8333333,0.809,3.4444444,0.806,2.1666667,0.672,3.7619047,0.715,3.5079365,0.656,2.7142856,1.403,1.7936507,0.282,3.142857,0.773,0.31746033,1.417,2.2539682,1.108,0.007936508,1.143,0.24603175,-0.006,0,1
blues,0.763,2.0952382,0.555,2.1349206,0.707,2.8095238,0.582,0.8968254,0.638,2.8095238,0.679,2.8015873,0.569,0.2777778,0.82,1.8333334,0.273,0.7936508,0.414,0.30952382,1.055,1.8650794,0.785,0,0.821,0.17460318,-0.006,0,1
blues,0.834,1.9047619,0.64,3.0555556,0.798,3.7460318,0.79,2.579365,0.669,4.095238,0.72,4.0555553,0.671,2.857143,1.633,2.2380953,0.308,3.3730159,0.888,0.7619048,1.594,2.3253968,1.184,0,1.247,0.3015873,-0.006,0,1
blues,0.85,2.015873,0.645,3.1111112,0.8,3.7301588,0.8,2.142857,0.672,3.8333333,0.714,3.5317461,0.686,1.9920635,1.324,1.8730159,0.343,3.1984127,0.804,0.44444445,1.449,2.579365,1.027,0,1.08,0.3015873,-0.006,0,1
blues,0.813,2.2539682,0.657,2.7460318,0.821,3.563492,0.742,2.1269841,0.683,3.4444444,0.71,3.5,0.699,1.0634921,1.202,2.5396826,0.411,2.1904762,0.783,0.82539684,1.43,2.7539682,0.931,0,1,0.5,-0.005,0,1
blues,0.848,1.8730159,0.619,2.5555556,0.798,3.2777777,0.82,2.6825397,0.673,4.15873,0.695,4.1031747,0.703,2.436508,1.582,2.0952382,0.314,2.6904762,0.833,0.6507937,1.574,2.452381,1.119,0.007936508,1.206,0.63492066,-0.006,0,1
blues,0.793,2.3253968,0.652,3.1031747,0.806,3.8095238,0.789,2.1587303,0.679,3.5714285,0.736,3.7222223,0.688,2.5,1.416,1.9841269,0.319,3.1190476,0.746,0.3968254,1.513,2.6984127,1.151,0.06349207,1.197,0.45238096,-0.006,0,1
