class label,FT1 value a,FT1 value b,FT2 value a,FT2 value b,FT3 value a,FT3 value b,FT4 value a,FT4 value b,FT5 value a,FT5 value b,FT6 value a,FT6 value b,FT7 value a,FT7 value b,FT8 value a,FT8 value b,FT9 value a,FT9 value b,FT10 value a,FT10 value b,FT11 value a,FT11 value b,FT12 value a,FT12 value b,FT13 value a,FT13 value b,FT14 value a,FT14 value b,class label
pop,0.623,2.2936509,0.871,1.8015873,1.145,2.6190476,0.585,0.9285714,0.672,4,0.696,3.9920635,0.655,2.3095238,0.8,0.88095236,0.43,1.3968254,0.652,0.07936508,1.067,3.6984127,1,4.7539682,1.198,4.0079365,0,0,2
pop,0.583,2.4444444,0.863,1.9603175,1.177,2.9682539,0.563,0.82539684,0.695,4.1031747,0.704,4.015873,0.67,2.8015873,0.764,0.4047619,0.471,1.6031746,0.652,0.03968254,0.989,3.1190476,0.967,4.7539682,1.166,3.8809524,0,0,2
pop,0.564,2.1031747,0.769,1.5555556,1.144,2.3968253,0.537,0.7380952,0.672,3.9444444,0.738,3.984127,0.654,2.1984127,0.771,0.8492063,0.387,1.2460318,0.608,0.055555556,1.052,3.5317461,1,4.571429,1.114,4.111111,0,0,2
pop,0.698,2.0079365,0.855,1.968254,1.118,2.8015873,0.614,1.0158731,0.684,4.2380953,0.705,4.031746,0.73,2.936508,0.844,1.0555556,0.484,1.7063493,0.711,0.24603175,1.103,3.1666667,1.006,4.6507936,1.209,3.7301588,0,0,2
pop,0.603,2.2698412,0.795,1.8174603,1.078,2.7539682,0.54,0.7777778,0.673,4.301587,0.711,3.8253968,0.655,2.5952382,0.761,0.74603176,0.396,1.4523809,0.575,0.055555556,0.989,3.4920635,0.987,4.595238,1.141,3.8968253,0,0,2
pop,0.767,2,0.817,3.1111112,0.989,3.7460318,0.688,1.8571428,0.697,4.142857,0.746,3.9682539,0.829,3.2619047,1.103,1.3968254,0.539,3.3809524,0.867,0.11904762,1.231,3.857143,1.208,2.4920635,1.323,2.1269841,0,0,2
pop,0.365,1.9920635,0.678,1.2777778,1.039,2.1825397,0.455,0.45238096,0.67,4.0873017,0.697,3.9126985,0.576,2.4603174,0.618,0.65873015,0.263,0.73015875,0.449,0.015873017,0.912,3.4126985,0.973,4.7063494,1.085,4.301587,0,0,2
pop,0.707,2.2936509,0.833,2.2619047,1.087,3.0714285,0.648,1.1428572,0.688,4.0079365,0.733,3.936508,0.712,2.9761906,0.894,1.0714285,0.473,2.3095238,0.729,0.071428575,1.097,4.15873,1.033,4.452381,1.216,3.3412697,0,0,2
pop,0.512,2.3015873,0.909,1.6746032,1.231,2.6031747,0.534,0.71428573,0.685,4.071429,0.688,4.0793653,0.656,2.4920635,0.751,0.64285713,0.436,1.0714285,0.655,0.023809524,0.999,3.3888888,0.977,4.7539682,1.157,4.1031747,0,0,2
pop,0.443,2.015873,0.716,1.3968254,1.13,2.2063491,0.51,0.53174603,0.69,4.1666665,0.679,4.142857,0.621,2.6031747,0.693,0.74603176,0.312,1.0555556,0.539,0.023809524,0.99,3.4126985,0.975,4.7380953,1.077,4.2777777,0,0,2
pop,0.646,2.3412697,0.73,1.9285715,0.994,2.7936509,0.514,0.85714287,0.665,4.452381,0.71,3.9285715,0.629,2.5079365,0.778,0.78571427,0.392,1.968254,0.574,0.007936508,1.051,3.8333333,1.019,4.611111,1.133,3.7301588,0,0,2
pop,0.727,2.2619047,0.849,2.2619047,1.095,3.0952382,0.646,1.2936507,0.686,3.952381,0.719,4.1031747,0.758,3.1746032,0.886,1.1269841,0.506,2.5079365,0.756,0.14285715,1.043,3.4761906,1.023,4.198413,1.214,3.4444444,0,0,2
pop,0.711,2.3730159,0.815,2.4444444,1.058,3.2460318,0.638,1.2539682,0.696,4.0238094,0.746,3.9285715,0.739,2.5952382,0.948,0.9126984,0.476,2.4920635,0.735,0.03968254,1.136,3.642857,1.079,3.8492064,1.196,3.2301588,0,0,2
pop,0.629,2.420635,0.871,1.9285715,1.163,2.7936509,0.615,0.88095236,0.672,4.111111,0.733,3.8095238,0.654,2.5238094,0.82,0.9047619,0.433,1.7698413,0.7,0.023809524,1.063,3.8809524,0.987,4.7539682,1.19,3.8253968,0,0,2
pop,0.699,2.3650794,0.844,2.2063491,1.104,3.142857,0.622,1.1031746,0.689,3.7777777,0.696,4.15873,0.666,2.484127,0.9,0.96825397,0.492,2.1349206,0.754,0.031746034,1.115,3.9444444,1.024,4.6190476,1.195,3.7222223,0,0,2
pop,0.677,2.3888888,0.874,2.1031747,1.116,2.9126985,0.634,1.1031746,0.671,3.9920635,0.706,4.3809524,0.665,2.8015873,0.845,0.73015875,0.469,1.9444444,0.69,0.031746034,1.072,3.5714285,0.999,4.7619047,1.218,3.8730159,0,0,2
pop,0.708,2.3412697,0.863,2.2619047,1.1,3.1031747,0.669,1.2222222,0.691,4.0793653,0.696,3.9047618,0.742,2.9444444,0.874,1.0079365,0.475,2.079365,0.72,0.16666667,1.094,3.2460318,1.005,4.674603,1.219,3.4126985,0,0,2
pop,0.76,2.015873,0.87,2.484127,1.115,3.2063491,0.679,1.2539682,0.681,4.0238094,0.734,3.7222223,0.738,2.7777777,0.941,1.1666666,0.501,2.3809524,0.784,0.071428575,1.129,3.9920635,1.041,4.357143,1.247,3.2380953,0,0,2
pop,0.713,2.3650794,0.835,2.3253968,1.078,3.2222223,0.624,1.2857143,0.692,4.198413,0.755,4.0079365,0.744,2.6825397,0.906,0.9126984,0.49,2.2460318,0.715,0.071428575,1.113,3.3412697,1.069,3.7936509,1.216,3.2222223,0,0,2
pop,0.625,2.2857144,0.806,1.8571428,1.119,2.6984127,0.564,0.9126984,0.674,4.325397,0.706,3.8730159,0.698,3.047619,0.783,0.82539684,0.409,1.6984127,0.605,0.11111111,1.027,3.2698412,0.999,4.7380953,1.14,3.8412697,0,0,2
pop,0.67,2.2539682,0.804,2.1269841,1.098,2.9761906,0.55,0.95238096,0.69,4.1904764,0.717,3.9761906,0.696,2.547619,0.807,0.84126985,0.43,1.9523809,0.634,0.031746034,1.039,3.420635,1.021,4.5079365,1.156,3.7380953,0,0,2
pop,0.71,2.2142856,0.788,2.1507936,1.05,2.9603174,0.601,1.0396825,0.703,3.936508,0.734,3.8888888,0.696,2.8650794,0.849,0.95238096,0.434,1.8174603,0.658,0.08730159,1.074,3.6111112,1.005,4.6825395,1.168,3.6031747,0,0,2
pop,0.412,2.063492,0.792,1.3888888,1.162,2.2698412,0.484,0.5,0.694,3.8412697,0.74,3.936508,0.631,2.6904762,0.693,0.61904764,0.343,1.0952381,0.551,0.015873017,0.939,3.1746032,0.97,4.674603,1.11,4.214286,0,0,2
pop,0.434,2,0.727,1.4444444,1.066,2.420635,0.466,0.5555556,0.678,4.0634923,0.692,4.142857,0.627,2.8650794,0.66,0.63492066,0.337,1.1428572,0.47,0.0952381,0.93,2.952381,0.964,4.730159,1.086,4.2222223,0,0,2
pop,0.619,2.0317461,0.837,1.8333334,1.169,2.6984127,0.535,0.8730159,0.693,4.031746,0.727,3.9126985,0.708,2.8333333,0.772,0.96031743,0.459,1.5158731,0.614,0.06349207,1.03,2.984127,0.99,4.5793653,1.165,3.8888888,0,0,2
pop,0.438,2.4047618,0.799,1.3571428,1.188,2.3015873,0.482,0.5555556,0.694,4.071429,0.71,4.071429,0.641,3.357143,0.676,0.48412699,0.352,1.3095238,0.561,0.015873017,0.932,3.0317461,0.97,4.714286,1.116,4.285714,0,0,2
pop,0.695,2.2698412,0.84,2.3253968,1.096,3.2539682,0.635,1.0793651,0.691,4.0634923,0.768,3.8968253,0.722,3.1666667,0.88,0.7380952,0.487,2.142857,0.724,0.04761905,1.065,3.3174603,1.026,4.5634923,1.199,3.563492,0,0,2
pop,0.603,1.8888888,0.752,1.8809524,1.033,2.7301588,0.531,0.7936508,0.69,4,0.731,3.9444444,0.673,3.015873,0.724,0.9126984,0.389,1.5555556,0.567,0.031746034,0.971,3.7380953,0.995,4.6825395,1.146,3.7539682,0,0,2
pop,0.694,2.436508,0.829,2.2142856,1.096,3.0079365,0.643,1.1111112,0.684,3.9920635,0.7,4.1825395,0.712,2.6984127,0.858,1.0158731,0.452,1.8253968,0.702,0.08730159,1.082,3.5317461,1.008,4.6825395,1.202,3.547619,0,0,2
pop,0.746,2.047619,0.885,2.7063491,1.067,3.4682539,0.702,1.5,0.677,4.1666665,0.715,4.0634923,0.717,3.0079365,1.007,1.0793651,0.54,2.7619047,0.847,0.06349207,1.181,3.984127,1.064,4.142857,1.286,3.2619047,0,0,2
pop,0.71,2.1349206,0.878,2.1349206,1.121,3.047619,0.636,1.1507937,0.69,4.174603,0.72,3.7857144,0.67,3.047619,0.879,0.7619048,0.49,2.0714285,0.744,0.007936508,1.113,3.7539682,1.025,4.3809524,1.187,3.8095238,0,0,2
pop,0.588,2.0714285,0.789,1.7619047,1.083,2.6111112,0.552,0.8015873,0.672,3.9444444,0.729,4.0079365,0.666,2.9682539,0.752,0.8095238,0.376,1.4444444,0.56,0.055555556,1.022,3.2380953,0.998,4.730159,1.161,3.9682539,0,0,2
pop,0.518,1.9047619,0.767,1.5396825,1.098,2.4444444,0.524,0.74603176,0.66,4.174603,0.707,4.095238,0.651,2.4126985,0.741,0.85714287,0.364,1.1111112,0.582,0.071428575,1.034,3.452381,0.991,4.730159,1.126,4.015873,0,0,2
pop,0.729,2.1746032,0.838,2.5317461,1.078,3.3015873,0.672,1.3730159,0.698,4.1507936,0.716,3.8253968,0.754,3.063492,0.955,1.1984127,0.485,2.5396826,0.745,0.14285715,1.127,3.8174603,1.067,4.198413,1.231,3.1904762,0,0,2
pop,0.773,2.079365,0.927,2.5079365,1.123,3.2619047,0.696,1.4603175,0.699,3.936508,0.749,4,0.821,3.015873,0.956,1.2222222,0.541,2.563492,0.814,0.071428575,1.167,3.0714285,1.052,4.095238,1.28,3.1507936,0,0,2
pop,0.714,2.3015873,0.856,2.1587303,1.111,2.9603174,0.66,1.0476191,0.68,4.1904764,0.73,4.1825395,0.689,2.9761906,0.868,0.93650794,0.461,2.1507936,0.707,0.04761905,1.09,3.7936509,1.022,4.428571,1.219,3.5,0,0,2
pop,0.742,2.0873015,0.852,2.5317461,1.089,3.2857144,0.673,1.5158731,0.707,4.174603,0.724,4,0.83,2.3650794,0.955,1.1746032,0.539,2.6746032,0.772,0.15873016,1.134,2.7857144,1.078,3.9444444,1.225,3.063492,0,0,2
pop,0.758,2.1349206,0.884,2.452381,1.073,3.2777777,0.693,1.3412699,0.681,4.3174605,0.742,3.8650794,0.732,3,0.959,1.1587301,0.531,2.563492,0.799,0.08730159,1.139,3.9761906,1.037,4.484127,1.251,3.2619047,0,0,2
pop,0.57,2.0714285,0.783,1.7063493,1.133,2.515873,0.592,0.82539684,0.682,4.0079365,0.706,4.047619,0.637,2.5873015,0.819,0.71428573,0.385,1.3809524,0.645,0.03968254,1.069,3.7222223,0.999,4.6666665,1.15,4.0873017,0,0,2
pop,0.755,2.0952382,0.818,2.5,1.056,3.2777777,0.63,1.4285715,0.696,4.095238,0.731,4.1031747,0.821,2.6190476,0.94,1.2222222,0.504,2.6746032,0.746,0.1984127,1.104,3.2460318,1.088,3.8730159,1.212,2.936508,0,0,2
pop,0.713,2.2936509,0.841,2.642857,1.035,3.5079365,0.684,1.6111112,0.704,3.9126985,0.721,3.7936509,0.819,2.420635,0.989,1.0793651,0.546,2.6904762,0.797,0.1984127,1.116,2.7460318,1.128,3.3333333,1.238,2.7936509,0,0,2
pop,0.63,2.4126985,0.769,1.8095238,1.114,2.6190476,0.569,0.8174603,0.668,4,0.705,4.0793653,0.663,2.7698412,0.799,0.7777778,0.386,1.6746032,0.636,0.06349207,1.046,3.4444444,1.011,4.515873,1.127,3.7301588,0,0,2
pop,0.753,1.9841269,0.857,2.0714285,1.126,2.8174603,0.651,1.1507937,0.688,4.1031747,0.701,4,0.718,2.2539682,0.847,1.1428572,0.452,1.531746,0.689,0.15873016,1.1,3.4285715,1.014,4.325397,1.184,3.5238094,0,0,2
pop,0.751,2.079365,0.862,2.6349206,1.096,3.4444444,0.667,1.5,0.698,4.126984,0.757,4.047619,0.83,3.0396826,0.965,1.2222222,0.554,2.6031747,0.805,0.17460318,1.112,3.142857,1.074,4.2539682,1.231,2.9126985,0,0,2
pop,0.73,2.2698412,0.877,2.484127,1.104,3.2857144,0.673,1.3571428,0.683,3.8968253,0.751,3.8968253,0.757,3.1666667,0.92,1.1587301,0.502,2.5396826,0.776,0.071428575,1.066,3.7698412,1.046,4.642857,1.236,3.3492064,0,0,2
pop,0.676,2.2301588,0.836,1.9444444,1.102,2.7539682,0.598,1,0.704,3.920635,0.726,3.9761906,0.685,2.7301588,0.822,0.97619045,0.434,1.8650794,0.667,0.071428575,1.081,3.515873,1.004,4.7380953,1.182,3.7698412,0,0,2
pop,0.542,2.1349206,0.795,1.6428572,1.077,2.4761906,0.545,0.7380952,0.691,4.111111,0.697,4.015873,0.684,2.8095238,0.726,1.1587301,0.408,1.3095238,0.556,0.11904762,1.017,3.1984127,0.975,4.7380953,1.138,3.9444444,0,0,2
pop,0.76,2.1666667,0.869,2.6904762,1.047,3.484127,0.711,1.5952381,0.701,4.0396824,0.731,3.9761906,0.796,2.8333333,1.038,1.2619047,0.557,2.9047618,0.826,0.1984127,1.189,3.2857144,1.096,3.8730159,1.26,2.8968253,0,0,2
pop,0.603,2.2063491,0.914,1.7380953,1.196,2.579365,0.591,0.96031743,0.677,4.174603,0.729,4,0.674,2.5238094,0.812,1,0.441,1.4523809,0.679,0.015873017,1.071,3.8809524,0.994,4.7460318,1.182,3.9682539,0,0,2
pop,0.736,2.3492064,0.896,2.1825397,1.116,2.984127,0.679,1.3333334,0.684,4.2380953,0.727,4.071429,0.707,2.7460318,0.915,1.1269841,0.492,2.2222223,0.77,0.14285715,1.136,3.8333333,1.029,4.4365077,1.265,3.5079365,0,0,2
pop,0.786,1.8730159,0.871,2.2698412,1.113,2.8888888,0.685,1.2301587,0.691,3.936508,0.701,3.857143,0.747,2.4682539,0.953,1.4761904,0.48,2.015873,0.781,0.12698413,1.243,3.8730159,1.026,4.6507936,1.262,3.4047618,0,0,2
pop,0.572,2.0952382,0.769,1.7460318,1.081,2.4920635,0.54,0.7936508,0.691,4.126984,0.741,3.7301588,0.659,2.8412697,0.767,0.8730159,0.374,1.4206349,0.574,0.03968254,1.025,3.547619,0.992,4.6507936,1.135,3.920635,0,0,2
pop,0.684,2.4444444,0.849,2.2698412,1.139,3.1111112,0.647,1.1111112,0.673,4.2777777,0.718,3.984127,0.695,2.9047618,0.881,0.8968254,0.484,2.015873,0.72,0.07936508,1.092,3.7222223,0.994,4.65873,1.168,3.4682539,0,0,2
pop,0.738,2.142857,0.869,2.2936509,1.103,3.1349206,0.689,1.1825397,0.684,4.1666665,0.702,4.111111,0.699,2.7301588,0.932,1.0079365,0.513,2.2380953,0.786,0.08730159,1.126,4.0396824,1.038,4.34127,1.217,3.5079365,0,0,2
pop,0.756,2.1984127,0.854,2.7857144,1.037,3.5396826,0.675,1.7142857,0.693,3.984127,0.727,3.7857144,0.823,3.5238094,1.048,1.2619047,0.562,3.4444444,0.84,0.13492064,1.14,3.9603174,1.18,2.7698412,1.275,2.3492064,0,0,2
pop,0.719,2.3174603,0.862,2.6111112,1.094,3.4444444,0.672,1.4206349,0.689,4.071429,0.703,4.0634923,0.79,2.857143,0.949,1.1825397,0.549,2.8015873,0.813,0.08730159,1.126,3.515873,1.072,4.2222223,1.226,3.0317461,0,0,2
pop,0.726,2.3095238,0.838,2.3809524,1.083,3.1111112,0.664,1.3730159,0.7,3.920635,0.724,3.8888888,0.732,3.1746032,0.922,1.1349206,0.483,2.5555556,0.765,0.12698413,1.119,3.6904762,1.041,4.373016,1.223,3.3333333,0,0,2
pop,0.587,2.1190476,0.783,1.7619047,1.082,2.6507936,0.574,0.8730159,0.649,4.2619047,0.695,4.1666665,0.654,2.563492,0.753,1.0634921,0.378,1.5555556,0.6,0.06349207,1.011,3.7936509,0.993,4.674603,1.137,3.8730159,0,0,2
pop,0.698,2.3650794,0.863,2.6587303,1.078,3.5317461,0.662,1.3730159,0.695,4.3174605,0.733,4.1507936,0.759,2.8888888,0.93,1,0.522,2.2301588,0.755,0.16666667,1.069,3.3412697,1.041,4.2222223,1.221,3.2063491,0,0,2
pop,0.728,2.1984127,0.821,2.2380953,1.101,3.1587303,0.629,1.1031746,0.677,4.1190476,0.71,3.952381,0.712,2.8650794,0.899,1.0238096,0.479,2.079365,0.741,0.13492064,1.12,3.547619,0.996,4.7380953,1.176,3.5079365,0,0,2
pop,0.59,2.3015873,0.863,1.7460318,1.195,2.6269841,0.602,0.88095236,0.705,4.0238094,0.713,4.0793653,0.631,2.1349206,0.829,0.85714287,0.478,1.1666666,0.697,0.071428575,1.098,4.015873,0.99,4.7619047,1.149,3.9920635,0,0,2
pop,0.722,2.3730159,0.872,2.642857,1.034,3.6111112,0.695,1.6666666,0.69,4.142857,0.724,4.1507936,0.848,3.1111112,1.012,1.3253968,0.581,2.7777777,0.811,0.22222222,1.141,3.0555556,1.118,3.4761906,1.253,2.8253968,0,0,2
pop,0.473,1.7380953,0.62,1.3571428,0.947,2.2142856,0.464,0.50793654,0.681,3.8333333,0.736,4.0793653,0.593,2.6111112,0.659,0.75396824,0.265,1.0952381,0.401,0.015873017,0.996,3.3809524,0.999,4.468254,1.063,4.1031747,0,0,2
pop,0.687,2.1031747,0.819,1.9365079,1.113,2.8253968,0.625,1,0.689,4.214286,0.702,4.031746,0.635,2.2301588,0.878,1.0714285,0.428,1.7142857,0.665,0.015873017,1.167,4.2380953,1,4.7619047,1.144,3.7619047,0,0,2
pop,0.588,2.1269841,0.81,1.7142857,1.115,2.6031747,0.567,0.8968254,0.69,4.0238094,0.726,3.984127,0.649,2.952381,0.803,0.93650794,0.39,1.531746,0.61,0.11904762,1.053,3.7777777,0.998,4.7380953,1.169,3.9603174,0,0,2
